,序号,楼盘名称,城区,签约套数,预定套数,签约面积（㎡）,签约均价（元/㎡）
0,1.0,龙湖春江郦城,滨江,18,0,2178.61,23757.0
1,2.0,海威钱塘之星,滨江,13,0,629.55㎡,17398.0
2,3.0,大家运河之星,拱墅,12,0,1052.72㎡,10457.0
3,4.0,保利城市果岭,下沙,8,0,743.05㎡,10457.0
4,5.0,金地格林格林,江干,7,8,609.97㎡,10238.0
5,6.0,远洋杭州大运河商务区,拱墅,5,0,346.72㎡,22681.0
6,7.0,之江九里,之江,4,0,358.08㎡,17747.0
7,8.0,绿城巧园,滨江,4,0,353.83㎡,16858.0
8,9.0,万科西庐,西湖,4,1,404.45㎡,22596.0
9,10.0,绿地旭辉城,滨江,4,0,346.18㎡,22345.0
10,11.0,中海定山府,之江,4,0,356.99㎡,9530.0
11,12.0,绿城兰园,下城,4,0,357.54㎡,42924.0
12,13.0,绿城西溪诚园,西湖,6,0,673.66㎡,31601.0
13,14.0,万科璞悦湾,滨江,4,4,483.78㎡,19595.0
14,15.0,宋都香悦郡,拱墅,3,5,266.34㎡,13039.0
15,16.0,远洋公馆绿园,拱墅,3,0,474.16㎡,30714.0
16,17.0,黄龙金茂悦,拱墅,3,0,267.85㎡,23375.0
17,18.0,滨江紫金府,西湖,3,0,318.31㎡,24619.0
18,19.0,世茂东壹号,江干,3,0,294.09㎡,17211.0
19,20.0,广大融城印象,江干,3,0,259.44㎡,12178.0
20,21.0,万科紫台,江干,3,0,304.39㎡,18594.0
21,22.0,玲珑府,滨江,3,0,146.09㎡,14444.0
22,23.0,德信东望,江干,3,0,269.14㎡,17704.0
23,24.0,富越香郡,拱墅,3,0,265.5㎡,17457.0
24,25.0,滨江万家星城,下城,3,0,265.62㎡,20003.0
25,26.0,龙湖名景台,江干,3,0,266.46㎡,13745.0
26,27.0,大家多立方,江干,2,0,169.1㎡,14678.0
27,28.0,绿城丽江公寓,江干,2,0,164.76㎡,16500.0
28,29.0,野风现代中心,下城,2,0,100.46㎡,20254.0
29,30.0,泰地北上新城,下城,2,0,84.99㎡,11230.0
30,31.0,华鸿罗兰春天,江干,2,0,199.39㎡,13251.0
31,32.0,中海寰宇天下,滨江,2,0,601.56㎡,18285.0
32,33.0,中国铁建国际城,拱墅,2,0,176.76㎡,18399.0
33,34.0,保利玫瑰湾,下沙,2,0,166.5㎡,10505.0
34,35.0,万银双子中心,江干,2,0,179.72㎡,20600.0
35,36.0,新中宇维萨,江干,2,0,178.69㎡,20314.0
36,37.0,武林壹号,拱墅,2,0,651.99㎡,60122.0
37,38.0,九龙仓碧玺,拱墅,2,0,177.77㎡,19297.0
38,39.0,同人精华大厦,西湖,2,0,102.14㎡,15482.0
39,40.0,杭州碧桂园,下沙,2,0,178.26㎡,9877.0
40,41.0,德信晓宸,拱墅,2,0,280.26㎡,18130.0
41,42.0,莱茵矩阵国际,拱墅,2,0,529.84㎡,21987.0
42,43.0,万和玺园,下城,2,0,176.73㎡,23473.0
43,44.0,鑫运时代金座,江干,2,0,101.28㎡,12786.0
44,45.0,宝嘉誉峰,拱墅,2,0,181.03㎡,21312.0
45,46.0,天阳晴朗,江干,2,0,178.49㎡,12213.0
46,47.0,宋都东郡国际,下沙,2,2,135.9㎡,9182.0
47,48.0,三江花园道壹号,拱墅,2,2,177.82㎡,17699.0
48,49.0,贺田尚城,滨江,1,0,138.24㎡,18301.0
49,50.0,莱蒙水榭春天,滨江,1,0,84.11㎡,21043.0
50,51.0,金隅观澜时代,下沙,1,0,136.76㎡,10200.0
51,52.0,坤和和家园,西湖,1,0,64.53㎡,19680.0
52,53.0,金都城市芯宇,西湖,1,0,53.62㎡,27635.0
53,54.0,德信泊林印象,江干,1,0,121.52㎡,14478.0
54,55.0,绿城西子田园牧歌,拱墅,1,0,88.55㎡,16107.0
